KNN,Random Forest,XGBoost,SVM,Naive Bayes,CATboost,LOF,PCA,Isolation Forest,K-Means,COPOD,ECOD
0.947,0.977,0.977,0.969,0.909,0.976,0.5,0.543,0.553,0.767,0.555,0.529
0.908,0.934,0.933,0.921,0.902,0.93,0.5,0.492,0.494,0.487,0.458,0.498
0.84,0.871,0.871,0.853,0.852,0.867,0.5,0.486,0.505,0.535,0.448,0.491
0.908,0.923,0.923,0.921,0.913,0.922,0.5,0.49,0.475,0.544,0.45,0.498
0.928,0.973,0.973,0.958,0.871,0.973,0.5,0.484,0.465,0.676,0.456,0.507
0.96,0.981,0.98,0.975,0.91,0.98,0.5,0.516,0.509,0.411,0.534,0.512
