KNN,Random Forest,XGBoost,SVM,Naive Bayes,CATboost,LOF,PCA,Isolation Forest,DBSCAN,COPOD,ECOD
0.938,0.977,0.976,0.968,0.91,0.975,0.335,0.456,0.411,0.333,0.471,0.44
0.895,0.935,0.934,0.922,0.904,0.931,0.334,0.395,0.36,0.334,0.354,0.402
0.827,0.872,0.872,0.853,0.853,0.868,0.334,0.388,0.363,0.333,0.343,0.394
0.899,0.923,0.923,0.92,0.913,0.922,0.334,0.393,0.373,0.333,0.345,0.402
0.918,0.973,0.973,0.955,0.871,0.972,0.334,0.386,0.362,0.333,0.353,0.413
0.955,0.98,0.98,0.974,0.91,0.98,0.334,0.423,0.372,0.333,0.445,0.419
