KNN,Random Forest,XGBoost,SVM,Naive Bayes,CATboost,LOF,PCA,Isolation Forest,DBSCAN,COPOD,ECOD
0.938,0.977,0.976,0.968,0.91,0.975,0.51,0.551,0.589,0.5,0.626,0.518
0.895,0.935,0.934,0.922,0.904,0.931,0.502,0.495,0.469,0.5,0.377,0.506
0.827,0.872,0.872,0.853,0.853,0.868,0.494,0.47,0.462,0.5,0.354,0.473
0.899,0.923,0.923,0.92,0.913,0.922,0.487,0.478,0.461,0.5,0.36,0.485
0.918,0.973,0.973,0.955,0.871,0.972,0.499,0.484,0.447,0.5,0.373,0.508
0.955,0.98,0.98,0.974,0.91,0.98,0.507,0.529,0.485,0.5,0.624,0.516
