Model,Estimator,ROC_AUC_Score,F1_Score,Precision,Recall,Accuracy,Runtime
LOF,100,0.842,0.985,0.998,0.973,0.641,1412.685
Principal Component,,0.82,0.946,0.998,0.9,0.648,8.538
Isolation Forest,180,0.832,0.938,0.998,0.885,0.688,58.045
DBSCAN,0.70215,0.691,0.995,0.998,0.992,0.619,3087.481
COPOD,,0.758,0.946,0.998,0.9,0.609,133.726
ECOD,,0.756,0.946,0.998,0.9,0.627,99.564
