Model,Estimator,ROC_AUC_Score,F1_Score,Runtime
KNN,9.0,0.798,0.994,3.324
Random Forest Classifier,880.0,0.879,0.996,58.382
XGBoost,5200.0,0.896,0.996,60.491
SVM,,0.744,0.993,128.561
Naive Bayes,,0.886,0.987,0.12
CATBoost,360.0,0.894,0.996,14.108
LOF,30.0,0.5,0.975,6.803
PCA,,0.814,0.94,0.482
Isolation Forest,14.0,0.822,0.94,1.399
K-Means,2.0,0.52,0.662,0.888
COPOD,,0.908,0.943,4.865
ECOD,,0.894,0.943,4.811
