Model,Estimator,ROC_AUC_Score,F1_Score,Runtime
KNN,3,0.851,0.995,17.882
Random Forest Classifier,590,0.875,0.996,195.782
XGBoost,900,0.9,0.989,13.098
SVM,,0.834,0.995,632.823
Naive Bayes,,0.884,0.987,0.573
CatBoost,860,0.892,0.996,133.709
LOF,100,0.763,0.976,81.79
Principal Component,,0.932,0.94,1.023
Isolation Forest,940,0.971,0.898,36.828
DBSCAN,,,,
COPOD,,0.968,0.943,4.577
ECOD,,0.96,0.943,4.225
