Model,Estimator,ROC_AUC_Score,F1_Score,Precision,Recall,Accuracy,Runtime
LOF,100.0,0.549,0.722,0.712,0.808,0.5,5.963
PCA,,0.76,0.813,0.814,0.834,0.642,0.115
Isolation Forest,520.0,0.717,0.402,0.82,0.393,0.607,4.047
DBSCAN,0.6805623250067976,0.674,0.629,0.802,0.588,0.674,8.231
COPOD,,0.846,0.801,0.8,0.824,0.626,1.147
ECOD,,0.783,0.798,0.795,0.821,0.621,0.583
