Model,Estimator,ROC_AUC_Score,F1_Score,Runtime
KNN,3,0.839,0.999,154.141
Random Forest Classifier,260,0.893,1.0,2289.313
XGBoost,530,0.702,0.999,84.971
SVM,,0.731,0.999,11838.396
Naive Bayes,,0.582,0.996,8.495
CatBoost,580,0.943,1.0,933.603
LOF,100,0.842,0.985,1412.685
Principal Component,,0.82,0.946,8.538
Isolation Forest,180,0.832,0.938,58.045
DBSCAN,0.70215,0.691,0.995,3087.481
COPOD,,0.758,0.946,133.726
ECOD,,0.756,0.946,99.564
