Model,Estimator,ROC_AUC_Score,F1_Score,Runtime
KNN,3.0,1.0,1.0,1.68
Random Forest Classifier,410.0,1.0,1.0,7.639
XGBoost,460.0,1.0,1.0,1.444
SVM,,1.0,1.0,5.372
Naive Bayes,,0.989,0.982,0.096
CATBoost,400.0,1.0,1.0,15.781
LOF,100.0,0.549,0.722,5.963
PCA,,0.76,0.813,0.115
Isolation Forest,520.0,0.717,0.402,4.047
DBSCAN,0.6805623250067976,0.674,0.629,8.231
COPOD,,0.846,0.801,1.147
ECOD,,0.783,0.798,0.583
