LOF,PCA,Isolation Forest,DBSCAN,COPOD,ECOD
0.5,0.543,0.53,0.5,0.555,0.529
0.5,0.492,0.491,0.5,0.458,0.498
0.5,0.486,0.491,0.5,0.448,0.491
0.5,0.49,0.492,0.5,0.45,0.498
0.5,0.484,0.487,0.5,0.456,0.507
0.5,0.516,0.502,0.5,0.534,0.512
