Model,Estimator,ROC_AUC_Score,F1 Score,Runtime
KNN,8.0,0.504,0.998,16.894
Random Forest Classifier,190.0,0.904,1.0,62.63
XGBoost,3400.0,0.908,1.0,0.901
SVM,,0.5,0.998,9.378
Naive Bayes,,0.828,0.995,0.074
CATBoost,330.0,0.923,1.0,5.362
LOF,13.0,0.638,0.991,289.7
PCA,,0.902,0.946,0.705
Isolation_Forest,66.0,0.889,0.946,2.165
K-means,2.0,0.433,0.697,0.389
COPOD,,0.887,0.946,0.389
ECOD,,0.893,0.946,14.229
